"Order","Desc","Mile","DTN","DTP","NW","Elev","LPL","HPL","Comment","Link","index","Type","Other"
"43","Mount Squires","184.4","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Mount-Squires/35.563/-83.741/3","3","W",""
"44","Spence Field","185.0","0.0","0.6","","4947","4947","4950","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Spence-Field/35.562/-83.733/3","3","W",""
"45","Spence Field","185.0","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Spence-Field/35.564/-83.733/3","3","W","S"
"46","Rocky Top","186.2","0.1","1.2","","5426","4888","5426","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Rocky-Top/35.564/-83.714/3","3","W","S"
"47","Swain","186.2","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Swain/35.564/-83.714/3","3","W",""
"48","North Carolina","186.3","0.1","0.0","","5393","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/North-Carolina/35.564/-83.714/3","3","W",""
"49","Blount","186.4","0.5","0.0","","5433","5374","5433","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Blount/35.566/-83.712/3","3","W",""
"50","Tennessee","186.4","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Tennessee/35.566/-83.712/3","3","W",""
"51","Spring","186.9","0.0","0.5","","5449","5459","5524","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Spring/35.570/-83.706/3","3","W",""
"52","Thunderhead Mountain","186.9","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Thunderhead-Mountain/35.569/-83.706/3","3","W",""
"53","Beechnut Gap","187.9","0.8","1.0","","4862","4862","5448","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Beechnut-Gap/35.570/-83.694/3","3","W",""
"54","Saddleback Ridge","188.7","0.0","0.8","","5068","5068","5078","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Saddleback-Ridge/35.569/-83.681/3","3","W",""
"55","Mineral Gap","188.7","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Mineral-Gap/35.569/-83.682/3","3","W",""
"56","Brier Knob","188.8","0.7","0.1","","5088","5068","5121","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Brier-Knob/35.570/-83.680/3","3","W",""
"57","Starkey Gap","189.5","0.5","0.7","","4501","4471","5091","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Starkey-Gap/35.569/-83.670/3","3","W",""
"58","Sevier","190.0","0.2","0.5","","4668","4501","4721","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Sevier/35.569/-83.662/3","3","W",""
"59","Sugartree Gap","190.2","0.9","0.2","","4402","4406","4669","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Sugartree-Gap/35.569/-83.657/3","3","W",""
"60","Chestnut Ridge","190.2","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Chestnut-Ridge/35.566/-83.644/3","3","W",""
"61","Little Chestnut Bald","191.1","0.2","0.0","","4855","4402","4855","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Little-Chestnut-Bald/35.566/-83.645/3","3","W",""
"62","Derrick Knob","191.1","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Derrick-Knob/35.567/-83.642/3","3","W",""
"63","Spring","191.3","0.0","0.2","","4839","4829","4845","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Spring/35.567/-83.641/3","3","W",""
"64","Big Chestnut Bald","191.4","0.2","0.1","","4858","4839","4862","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Big-Chestnut-Bald/35.566/-83.640/3","3","W","S"
"65","Sams Gap","191.6","0.3","0.2","","4727","4727","4868","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Sams-Gap/35.567/-83.637/3","3","W",""
"66","Mount Davis","191.9","0.7","0.3","","4852","4714","4888","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Mount-Davis/35.571/-83.634/3","3","W",""
"67","Hemlock Knob","192.6","1.1","0.7","","4770","4678","4881","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Hemlock-Knob/35.572/-83.622/3","3","W",""
"68","Cold Spring Knob","193.7","0.3","1.1","","5206","4675","5206","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Cold-Spring-Knob/35.580/-83.608/3","3","W",""
"69","Sevier","193.7","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Sevier/35.579/-83.604/3","3","W",""
"70","Tennessee","194.0","0.0","0.3","","4970","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Tennessee/35.579/-83.604/3","3","W",""
"71","Buckeye Gap","194.2","0.3","0.2","","4829","4829","4970","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Buckeye-Gap/35.578/-83.601/3","3","W",""
"72","Swain","194.2","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Swain/35.575/-83.599/3","3","W",""
"73","North Carolina","194.5","0.0","0.3","","4990","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/North-Carolina/35.575/-83.599/3","3","W",""
"74","Proctor Ridge","195.7","1.1","1.2","","5193","4904","5200","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Proctor-Ridge/35.564/-83.586/3","3","W",""
"75","Silers Bald","195.7","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Silers-Bald/35.564/-83.568/3","3","W",""
"76","Spring","196.8","0.0","1.1","","5436","5075","5442","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Spring/35.565/-83.568/3","3","W",""
"77","Silers Lead","197.0","0.1","0.2","","5541","5436","5541","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Silers-Lead/35.565/-83.566/3","3","W","S"
"78","Welch Ridge","197.0","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Welch-Ridge/35.566/-83.566/3","3","W",""
"79","Silers Bald","197.1","0.3","0.0","","5583","5541","5583","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Silers-Bald/35.566/-83.566/3","3","W",""
"80","The Narrows","197.4","0.3","0.3","","5301","5285","5590","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/The-Narrows/35.565/-83.560/3","3","W",""
"81","Monteith Ridge","197.7","0.4","0.3","","5400","5291","5419","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Monteith-Ridge/35.565/-83.556/3","3","W",""
"82","Suli Ridge","198.1","0.3","0.4","","5534","5400","5570","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Suli-Ridge/35.564/-83.550/3","3","W",""
"83","Jenkins Knob","198.4","0.1","0.3","","5524","5419","5534","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Jenkins-Knob/35.565/-83.545/3","3","W",""
"84","Double Spring Gap","198.5","0.0","0.1","","5488","5495","5518","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Double-Spring-Gap/35.565/-83.543/3","3","W",""
"85","Jenkins Ridge","198.5","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Jenkins-Ridge/35.565/-83.543/3","3","W","S"
"86","Spring","198.5","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Spring/35.566/-83.543/3","3","W","S"
"87","Double Spring Gap","198.6","1.7","0.0","","5485","5482","5485","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Double-Spring-Gap/35.565/-83.542/3","3","W","S"
"88","Loggy Ridge","200.3","0.6","1.7","","6115","5485","6145","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Loggy-Ridge/35.562/-83.516/3","3","W",""
"89","Devils Court House Ridge","200.3","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Devils-Court-House-Ridge/35.562/-83.506/3","3","W",""
"90","Mount Buckley","200.9","0.5","0.0","","6473","6102","6489","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Mount-Buckley/35.562/-83.506/3","3","W",""
"91","Clingmans Dome","201.4","0.1","0.5","","6607","6414","6607","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Clingmans-Dome/35.563/-83.499/3","3","W",""
"92","Clingmans Dome","201.5","0.5","0.1","","6601","6601","6617","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Clingmans-Dome/35.557/-83.496/3","3","W",""
"93","Mount Love","202.0","0.7","0.5","","6358","6335","6601","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Mount-Love/35.567/-83.491/3","3","W",""
"94","Swain","202.0","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Swain/35.571/-83.484/3","3","W",""
"95","Sevier","202.0","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Sevier/35.572/-83.483/3","3","W",""
"96","North Carolina","202.7","0.0","0.7","","6033","6033","6033","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/North-Carolina/35.571/-83.484/3","3","W",""
"97","Tennessee","202.7","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Tennessee/35.572/-83.483/3","3","W",""
"98","Collins Gap","203.2","1.1","0.5","","5744","5744","6023","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Collins-Gap/35.575/-83.481/3","3","W",""
"99","Mount Collins","204.3","0.7","1.1","","6171","5662","6174","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Mount-Collins/35.587/-83.472/3","3","W",""
"100","Mount Collins","205.0","2.4","0.7","","5869","5868","6171","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Mount-Collins/35.594/-83.471/3","3","W",""
"101","Clingman's Dome Road (Indian Gap)","207.4","0.8","2.4","","5262","5252","5885","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Clingmans-Dome-Road-Indi/35.609/-83.447/3","3","W","S"
"102","Indian Gap","208.2","0.9","0.8","","5374","5262","5524","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Indian-Gap/35.611/-83.438/3","3","W",""
"103","Gatlinburg TN 37738","208.2","","","","","","","35.720000 -83.520000","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Gatlinburg-TN-37738/35.611/-83.425/3","3","W",""
"104","US 441 (Newfound Gap)","208.2","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/US-441-Newfound-Gap/35.611/-83.425/3","3","W",""
"105","State Rte 71","209.1","0.0","0.9","","5000","5000","5000","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/State-Rte-71/35.611/-83.425/3","3","W",""
"106","Newfound Gap","209.1","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Newfound-Gap/35.611/-83.425/3","3","W","R X"
"107","Mount Ambler","211.6","0.2","2.5","","6089","5039","6089","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Mount-Ambler/35.625/-83.393/3","3","W","R X"
"108","Sevier","211.6","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Sevier/35.628/-83.391/3","3","W",""
"109","Tennessee","211.8","0.1","0.0","","6033","6033","6033","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Tennessee/35.628/-83.391/3","3","W",""
"110","Swain","211.8","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Swain/35.628/-83.391/3","3","W",""
"111","North Carolina","211.9","0.0","0.1","","6036","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/North-Carolina/35.628/-83.391/3","3","W",""
"112","Icewater Spring","212.2","0.8","0.3","","5918","5919","6036","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Icewater-Spring/35.630/-83.386/3","3","W",""
"113","Masa Knob","213.0","0.4","0.8","","5587","5501","5919","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Masa-Knob/35.635/-83.378/3","3","W","S"
"114","Charlies Bunion","213.4","0.3","0.4","","5423","5396","5587","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Charlies-Bunion/35.639/-83.372/3","3","W",""
"115","Dry Sluice Gap","213.7","0.6","0.3","","5426","5351","5459","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Dry-Sluice-Gap/35.638/-83.368/3","3","W",""
"116","The Sawteeth","214.3","0.2","0.6","","5377","5278","5462","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/The-Sawteeth/35.643/-83.362/3","3","W",""
"117","Porters Gap","214.5","0.3","0.2","","5324","5332","5387","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Porters-Gap/35.646/-83.360/3","3","W",""
"118","Porters Mountain","214.8","0.9","0.3","","5511","5321","5511","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Porters-Mountain/35.649/-83.359/3","3","W",""
"119","False Gap","215.7","1.4","0.9","","5226","5229","5564","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/False-Gap/35.657/-83.354/3","3","W",""
"120","Laurel Top","217.1","2.3","1.4","","5777","5226","5780","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Laurel-Top/35.665/-83.341/3","3","W",""
"121","Hughes Ridge","219.4","0.1","2.3","","5561","5272","5800","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Hughes-Ridge/35.653/-83.309/3","3","W",""
"122","Pecks Corner","219.5","0.1","0.1","","5561","5561","5561","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Pecks-Corner/35.651/-83.309/3","3","W",""
"123","Pecks Corner","219.6","0.9","0.1","","5567","5531","5587","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Pecks-Corner/35.655/-83.310/3","3","W","S"
"124","Katalsta Ridge","220.5","0.9","0.9","","5833","5505","5816","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Katalsta-Ridge/35.658/-83.296/3","3","W",""
"125","Copper Gap","221.4","0.5","0.9","","5498","5495","5846","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Copper-Gap/35.668/-83.291/3","3","W",""
"126","Sevier","221.9","0.2","0.0","","5830","5479","5830","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Sevier/35.674/-83.292/3","3","W",""
"127","Tennessee","221.9","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Tennessee/35.674/-83.292/3","3","W",""
"128","Swain","221.9","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Swain/35.675/-83.288/3","3","W",""
"129","North Carolina","222.1","0.0","0.2","","5951","5951","5951","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/North-Carolina/35.675/-83.288/3","3","W",""
"130","Mount Sequoyah","222.1","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Mount-Sequoyah/35.675/-83.288/3","3","W",""
"131","Raven Ridge","222.5","2.4","0.4","","6000","5912","6007","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Raven-Ridge/35.676/-83.282/3","3","W",""
"132","Tri-corner Knob","224.9","0.2","2.4","","5908","5803","6253","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Tri-corner-Knob/35.694/-83.257/3","3","W",""
"133","Tricorner Knob","225.1","0.2","0.2","","5961","5908","5990","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Tricorner-Knob/35.696/-83.254/3","3","W","S"
"134","Haywood","225.3","0.8","0.2","","5944","5918","5977","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Haywood/35.699/-83.256/3","3","W",""
"135","Guyot Spur","226.1","0.2","0.8","","6299","5941","6325","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Guyot-Spur/35.705/-83.264/3","3","W",""
"136","Spring","226.3","0.3","0.2","","6302","6282","6322","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Spring/35.707/-83.261/3","3","W",""
"137","Ramsey Prong","226.6","0.2","0.3","","6276","6259","6309","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Ramsey-Prong/35.708/-83.257/3","3","W",""
"138","Ramsey Prong","226.6","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Ramsey-Prong/35.709/-83.254/3","3","W",""
"139","Spring","226.8","0.5","0.0","","6236","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Spring/35.709/-83.254/3","3","W",""
"140","Cocke","226.8","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Cocke/35.715/-83.257/3","3","W",""
"141","Old Black","227.3","0.0","0.5","","6240","6240","6266","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Old-Black/35.715/-83.255/3","3","W",""
"142","Deer Creek Gap","227.8","0.7","0.5","","6043","6043","6240","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Deer-Creek-Gap/35.720/-83.252/3","3","W",""
"143","Yellow Creek Gap","228.5","0.1","0.7","","5915","5908","6085","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Yellow-Creek-Gap/35.725/-83.242/3","3","W",""
"144","Inadu Knob","228.6","1.4","0.1","","5902","5875","5915","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Inadu-Knob/35.727/-83.241/3","3","W",""
"145","Camel Hump Knob","230.0","0.2","1.4","","5068","5055","5902","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Camel-Hump-Knob/35.726/-83.217/3","3","W",""
"146","Camel Hump Mountain","230.2","0.9","0.2","","5032","5019","5095","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Camel-Hump-Mountain/35.727/-83.217/3","3","W",""
"147","Camel Gap","231.1","0.5","0.9","","4675","4625","5052","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Camel-Gap/35.726/-83.204/3","3","W",""
"148","Ross Knob","231.6","0.4","0.5","","4960","4675","4980","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Ross-Knob/35.725/-83.198/3","3","W",""
"149","Cocke","232.0","0.0","0.4","","5045","4947","5045","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Cocke/35.729/-83.191/3","3","W",""
"150","Tennessee","232.0","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Tennessee/35.729/-83.191/3","3","W",""
"151","Haywood","232.1","0.0","0.1","","5029","5029","5062","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Haywood/35.729/-83.190/3","3","W",""
"152","North Carolina","232.1","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/North-Carolina/35.729/-83.190/3","3","W",""
"153","Cosby Knob","232.3","0.4","0.2","","5036","5019","5078","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Cosby-Knob/35.730/-83.187/3","3","W",""
"154","Cosby Knob","232.7","0.7","0.4","","4786","4799","5045","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Cosby-Knob/35.728/-83.182/3","3","W",""
"155","Low Gap","233.4","0.9","0.7","","4238","4235","4799","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Low-Gap/35.737/-83.180/3","3","W","S"
"156","Rocky Face Mountain","234.3","0.4","0.9","","4744","4238","4760","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Rocky-Face-Mountain/35.744/-83.177/3","3","W",""
"157","Sunup Knob","234.7","0.6","0.4","","4904","4740","4897","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Sunup-Knob/35.746/-83.171/3","3","W",""
"158","Cammerer Ridge","235.3","4.5","0.6","","4901","4812","4904","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Cammerer-Ridge/35.753/-83.166/3","3","W",""
"159","Davenport Gap","239.8","0.9","4.5","","2641","2641","5032","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Davenport-Gap/35.769/-83.124/3","3","W",""
"160","Haywood","239.8","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Haywood/35.771/-83.112/3","3","W","S"
"161","North Carolina","240.7","0.1","0.0","","2004","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/North-Carolina/35.771/-83.112/3","3","W","S"
"162","Davenport Gap","240.7","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Davenport-Gap/35.771/-83.112/3","3","W",""
"163","Mount Sterling Rd","240.8","0.1","0.0","","1994","1994","1998","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Mount-Sterling-Rd/35.771/-83.111/3","3","W",""
"164","National Forests in North Carolina","240.8","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/National-Forests-in-Nort/35.771/-83.111/3","3","W","X"
"165","Davenport Gap","240.8","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Davenport-Gap/35.771/-83.111/3","3","W","X"
"166","Cherokee National Forest","240.8","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Cherokee-National-Forest/35.771/-83.110/3","3","W","X"
"167","Cocke","240.8","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Cocke/35.771/-83.110/3","3","W","X"
"168","Tennessee","240.9","0.0","0.1","","2063","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Tennessee/35.771/-83.110/3","3","W","X"
"169","Tobes Creek","242.2","0.1","1.3","","1381","1380","2103","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Tobes-Creek/35.784/-83.114/3","3","W",""
"170","Waterville Rd","242.2","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Waterville-Rd/35.785/-83.113/3","3","W",""
"171","Pigeon River","242.3","0.2","0.0","","1358","1357","1381","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Pigeon-River/35.785/-83.113/3","3","W",""
"172","I-40","242.3","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/I-40/35.784/-83.110/3","3","W","X"
"173","I-40","242.5","0.1","0.0","","1450","1440","1448","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/I-40/35.784/-83.110/3","3","W","X"
"174","Waterville School Road","242.6","0.0","0.1","","1469","1443","1468","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Waterville-School-Road/35.783/-83.109/3","3","W","X"
"175","Green Corner Rd","242.6","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Green-Corner-Rd/35.784/-83.110/3","3","W","X"
"176","Snowbird Mountain","248.0","0.6","5.4","","4251","1463","4247","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Snowbird-Mountain/35.790/-83.053/3","3","W","X"
"177","Wildcat Top","248.6","0.2","0.6","","4146","4110","4255","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Wildcat-Top/35.785/-83.043/3","3","W",""
"178","Holly Bottom Branch","248.8","0.4","0.2","","4045","4068","4169","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Holly-Bottom-Branch/35.784/-83.043/3","3","W",""
"179","Turkey Gap","249.2","0.4","0.4","","3700","3700","4043","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Turkey-Gap/35.787/-83.038/3","3","W",""
"180","Turkey Gap","249.6","0.9","0.4","","3553","3556","3717","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Turkey-Gap/35.786/-83.033/3","3","W",""
"181","Gulf Rd","249.6","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Gulf-Rd/35.784/-83.025/3","3","W",""
"182","Deep Gap","250.5","0.0","0.9","","2900","2900","3595","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Deep-Gap/35.784/-83.025/3","3","W",""
"183","Deep Gap","250.5","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Deep-Gap/35.783/-83.025/3","3","W","X"
"184","Groundhog Creek","250.7","1.2","0.2","","2982","2910","2978","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Groundhog-Creek/35.782/-83.026/3","3","W","X"
"185","National Forests in North Carolina","250.7","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/National-Forests-in-Nort/35.779/-83.010/3","3","W","S"
"186","Cocke","250.7","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Cocke/35.779/-83.010/3","3","W","S"
"187","Haywood","250.7","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Haywood/35.779/-83.009/3","3","W","S"
"188","Tennessee","251.9","0.2","0.0","","3526","3526","3526","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Tennessee/35.779/-83.010/3","3","W","S"
"189","North Carolina","251.9","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/North-Carolina/35.779/-83.009/3","3","W",""
"190","Cherokee National Forest","252.1","0.6","0.2","","3549","3526","3547","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Cherokee-National-Forest/35.779/-83.007/3","3","W",""
"191","Flat Ridge","252.7","0.6","0.6","","3861","3549","3860","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Flat-Ridge/35.774/-83.002/3","3","W",""
"192","Brown Gap","253.3","0.1","0.6","","3484","3471","3864","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Brown-Gap/35.773/-82.996/3","3","W",""
"193","Brown Gap","253.4","2.7","0.1","","3480","3467","3484","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Brown-Gap/35.773/-82.995/3","3","W",""
"194","State Road 1182","253.4","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/State-Road-1182/35.792/-82.962/3","3","W",""
"195","State Rd 1182","253.4","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/State-Rd-1182/35.792/-82.962/3","3","W",""
"196","Madison","256.1","0.1","0.0","","4242","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Madison/35.792/-82.962/3","3","W",""
"197","NC 1182 (Max Patch)","256.1","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/NC-1182-Max-Patch/35.794/-82.962/3","3","W","X"
"198","West Fork Little Creek","256.2","0.7","0.0","","4225","4225","4225","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/West-Fork-Little-Creek/35.793/-82.962/3","3","W","X"
"199","Max Patch Mountain","256.9","1.0","0.7","","4609","4212","4612","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Max-Patch-Mountain/35.797/-82.957/3","3","W",""
"200","Buckeye Ridge","257.9","0.8","1.0","","4235","4199","4608","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Buckeye-Ridge/35.799/-82.947/3","3","W",""
"201","Roaring Fork","258.7","0.2","0.8","","4015","4005","4248","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Roaring-Fork/35.805/-82.950/3","3","W",""
"202","Roaring Fork","258.9","2.8","0.2","","3946","3946","4015","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Roaring-Fork/35.805/-82.953/3","3","W","S"
"203","Roaring Fork (old shelter location)","261.7","0.5","2.8","","3540","3448","3969","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Roaring-Fork-old-shelter/35.822/-82.939/3","3","W",""
"204","Lemon Gap","261.7","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Lemon-Gap/35.825/-82.938/3","3","W","S"
"205","National Forests in North Carolina","261.7","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/National-Forests-in-Nort/35.824/-82.938/3","3","W","S"
"206","Cherokee National Forest","261.7","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Cherokee-National-Forest/35.825/-82.938/3","3","W","S"
